Name,Description,Easting,Northing,UTM zone,UTM coordinates
439B,,381310,5812168,32U,32U 381310 5812168
439C,,381341,5812144,32U,32U 381341 5812144
439D,,381370,5812117,32U,32U 381370 5812117
439E,,381408,5812100,32U,32U 381408 5812100
439F,,381433,5812079,32U,32U 381433 5812079
439G,,381450,5812065,32U,32U 381450 5812065
443,,381160,5812422,32U,32U 381160 5812422
444,,381183,5812426,32U,32U 381183 5812426
445,,381202,5812433,32U,32U 381202 5812433
446,,381233,5812442,32U,32U 381233 5812442
447,,381264,5812459,32U,32U 381264 5812459
448,,381283,5812454,32U,32U 381283 5812454
449,,381309,5812467,32U,32U 381309 5812467
45,,381377,5813581,32U,32U 381377 5813581
450,,381345,5812477,32U,32U 381345 5812477
451,,381748,5813205,32U,32U 381748 5813205
452,,381742,5813209,32U,32U 381742 5813209
453,,381752,5813265,32U,32U 381752 5813265
454,,381743,5813311,32U,32U 381743 5813311
455,,381749,5813324,32U,32U 381749 5813324
456,,381746,5813363,32U,32U 381746 5813363
457,,381754,5813432,32U,32U 381754 5813432
458,,381754,5813458,32U,32U 381754 5813458
459,,381753,5813508,32U,32U 381753 5813508
460,,381752,5813540,32U,32U 381752 5813540
462,,381753,5813601,32U,32U 381753 5813601
463,,381752,5813665,32U,32U 381752 5813665
463A,,381751,5813649,32U,32U 381751 5813649
464,,381752,5813702,32U,32U 381752 5813702
465,,381750,5813746,32U,32U 381750 5813746
466,,381755,5813775,32U,32U 381755 5813775
467,,381751,5813797,32U,32U 381751 5813797
469,,381760,5813807,32U,32U 381760 5813807
47,,381380,5813567,32U,32U 381380 5813567
470,,381775,5813818,32U,32U 381775 5813818
471,,381799,5813828,32U,32U 381799 5813828
472,,381814,5813843,32U,32U 381814 5813843
473,,381835,5813857,32U,32U 381835 5813857
474,,381876,5813880,32U,32U 381876 5813880
474M,,381857,5813871,32U,32U 381857 5813871
49,,381384,5813533,32U,32U 381384 5813533
501,,381433,5812510,32U,32U 381433 5812510
502,,381451,5812516,32U,32U 381451 5812516
503,,381466,5812522,32U,32U 381466 5812522
504,,381483,5812529,32U,32U 381483 5812529
505,,381497,5812531,32U,32U 381497 5812531
506,,381522,5812539,32U,32U 381522 5812539
507,,381535,5812542,32U,32U 381535 5812542
508,,381558,5812549,32U,32U 381558 5812549
509,,381574,5812559,32U,32U 381574 5812559
51,,381382,5813511,32U,32U 381382 5813511
510,,381604,5812563,32U,32U 381604 5812563
511,,381621,5812567,32U,32U 381621 5812567
512,,381647,5812577,32U,32U 381647 5812577
513,,381668,5812584,32U,32U 381668 5812584
514,,381709,5812595,32U,32U 381709 5812595
516,,381759,5812547,32U,32U 381759 5812547
517,,381764,5812522,32U,32U 381764 5812522
518A,,381772,5812488,32U,32U 381772 5812488
519A,,381782,5812452,32U,32U 381782 5812452
521,,381790,5812417,32U,32U 381790 5812417
522A,,381803,5812374,32U,32U 381803 5812374
523A,,381809,5812350,32U,32U 381809 5812350
525,,381819,5812311,32U,32U 381819 5812311
53,,381382,5813470,32U,32U 381382 5813470
549,,381383,5812440,32U,32U 381383 5812440
55,,381380,5813450,32U,32U 381380 5813450
551,,381391,5812389,32U,32U 381391 5812389
553A?M,,381417,5812343,32U,32U 381417 5812343
556,,381424,5812254,32U,32U 381424 5812254
557A,,381441,5812240,32U,32U 381441 5812240
558,,381439,5812210,32U,32U 381439 5812210
560,,381450,5812156,32U,32U 381450 5812156
561A?M,,381477,5812130,32U,32U 381477 5812130
562,,381463,5812103,32U,32U 381463 5812103
565M,,381036,5812276,32U,32U 381036 5812276
566,,381046,5812241,32U,32U 381046 5812241
567,,381052,5812224,32U,32U 381052 5812224
568,,381058,5812204,32U,32U 381058 5812204
569,,381066,5812180,32U,32U 381066 5812180
57,,381381,5813423,32U,32U 381381 5813423
570,,381072,5812142,32U,32U 381072 5812142
571,,381083,5812112,32U,32U 381083 5812112
572,,381090,5812085,32U,32U 381090 5812085
573,,381094,5812066,32U,32U 381094 5812066
574,,381101,5812042,32U,32U 381101 5812042
575,,381110,5812005,32U,32U 381110 5812005
576,,381118,5811981,32U,32U 381118 5811981
577M,,381124,5811941,32U,32U 381124 5811941
582,,381118,5811926,32U,32U 381118 5811926
59,,381381,5813393,32U,32U 381381 5813393
6,,381004,5813404,32U,32U 381004 5813404
61,,381379,5813367,32U,32U 381379 5813367
62,,380894,5812996,32U,32U 380894 5812996
63,,381378,5813338,32U,32U 381378 5813338
66M,,380837,5812983,32U,32U 380837 5812983
69,,381383,5813316,32U,32U 381383 5813316
701A,,381060,5813493,32U,32U 381060 5813493
702?3KAST,,381071,5813495,32U,32U 381071 5813495
703,,381091,5813507,32U,32U 381091 5813507
705,,381140,5813536,32U,32U 381140 5813536
706,,381172,5813563,32U,32U 381172 5813563
708,,381234,5813590,32U,32U 381234 5813590
708A NBU,,381250,5813583,32U,32U 381250 5813583
709,,381258,5813590,32U,32U 381258 5813590
71,,381376,5813295,32U,32U 381376 5813295
710M,,381266,5813587,32U,32U 381266 5813587
714,,381298,5813546,32U,32U 381298 5813546
713,,381350,5813572,32U,32U 381350 5813572
715,,381396,5813599,32U,32U 381396 5813599
716,,381432,5813615,32U,32U 381432 5813615
717,,381461,5813629,32U,32U 381461 5813629
718,,381482,5813648,32U,32U 381482 5813648
718A,,381283,5813601,32U,32U 381283 5813601
719,,381505,5813667,32U,32U 381505 5813667
